OpenAI,Azure,Caption,Label,OpenAI_Conf,OpenAI_Azure_Conf,Azure_Conf,Animal,Building,Indoor,Outdoor,People
They were therefore a key part of the maintenance of maat,a painting of a man and a woman," Low relief of Seti I performing rituals for the god Amun, from Seti's mortuary temple at Abydos. Thirteenth century BC",2,0.2961,0.0002104,0.3386004865,0,1,0,0,0
[22] The temple's economic workings were analogous to those of a large Egyptian household,a wall with drawings on it," Sunk relief of personified provinces of Egypt bearing offerings for the temple god, from the mortuary temple of Ramesses II at Abydos. Thirteenth century BC[27]",2,0.2954,2.71E-05,0.3389963806,0,1,0,0,0
pyramid complexes combined different elements from the axial plan and from the rectangular plan of Djoser,"diagram, engineering drawing"," Reconstruction of the Old Kingdom pyramid temple of Djedkare Isesi, with causeway leading out to the valley temple. Twenty-fourth century BC.",1,0.1941,0.0005894,0.9950335622,0,0,0,1,0
the Precinct of Amun-Re at Karnak in Thebes,Luxor Temple with a dirt road,Roman-era mammisi at Dendera Temple complex. First to second century AD.[64],2,0.3076,0.11676,0.21187675,0,1,0,0,0
the Egyptian temple style continued to evolve without absorbing much foreign influence,a large building with many pillars,,2,0.3984,0.00854,0.252727896,0,1,0,0,0
A Egyptian rulers also built temples-up of some producing cuboid blocks whose uneven shapes interlocked,a close-up of some bricks,Stone construction in a wall of the Valley Temple of Khafre. Twenty-sixth century BC.,1,0.2053,0.007248,0.5004649758,0,1,0,0,0
The Ptolemaic Temple of Kom Ombo was built with two main sanctuaries,a high angle view of a city," The temple of Ramesses III at Medinet Habu, surrounded by the remains of subsidiary structures. Twelfth century BC.",1,0.4446,0.0003011,0.4771930575,0,0,0,0,0
a cabinet-like shrine that housed the divine image,a door in a stone wall,Shrine in the cella of the Temple of Edfu. Fourth to third century BC[110],1,0.1681,0.0003295,0.3754719794,0,1,0,0,0
The epitome of this style is the Great Hypostyle Hall at Karnak,a group of people in a room with pillars and a statue,Hypostyle hall of Esna Temple. First century AD.[120],1,0.6914,0.005363,0.2576314807,0,1,0,0,0
the Osireion,a stone structure with a hole in the middle,Brick storehouses at the Ramesseum. Thirteenth century BC.,2,0.1487,0.10376,0.3098139167,0,1,0,1,0
the God's Wife of Amun,diagram,A priest burning incense depicted in a papyrus. Tenth century BC.,1,0.757,0.000546,0.8297687173,0,0,0,0,0
the Egyptians believed that all ritual actions achieved their effect through ḥkꜣ,a stone wall with a carving of a man and a woman,Amenhotep III presents a variety of offerings in a relief from Luxor Temple. Fourteenth century BC.,2,0.2961,0.002903,0.2575031817,0,0,0,1,0
